case_name,frequency_Hz,Y11_real,Y11_imag,Y12_real,Y12_imag,Y21_real,Y21_imag,Y22_real,Y22_imag
unstable,1.09804244372852,0.725347596067118,-0.423460037805966,-6.44129789892693,0.957149290302428,-0.199919805903072,-1.32314034687293,-0.590492479082211,-0.127931053914309
unstable,1.15307153907997,0.755336661032122,-0.523810918085472,-7.65508660786073,1.1633781248369,-0.217928695944419,-1.3854723771758,-0.60514606392988,-0.161379695818534
unstable,1.2108584525399,0.79029845873646,-0.658052547300763,-9.23121349595802,1.45618285454127,-0.236824952665661,-1.45033434655045,-0.624233974105142,-0.206681324167358
unstable,1.27154139391661,0.830879432803299,-0.8436741117629,-11.3470662585432,1.89497399116215,-0.256171902320513,-1.51780167999596,-0.650406889185843,-0.269942380125702
unstable,1.33526549949084,0.876704741380608,-1.11216210309305,-14.3162824606901,2.60167770781725,-0.275048344141569,-1.58801778476856,-0.688948967588887,-0.361966926481223
unstable,1.40218317914034,0.922779299510796,-1.52617686893209,-18.7472373111345,3.86092780503588,-0.291443489968417,-1.66137102100008,-0.751829312014488,-0.5036490195223
unstable,1.47245448086079,0.942769403150237,-2.22916572711361,-25.9772077459607,6.47276851179487,-0.300526668491235,-1.73923596540705,-0.871607499159668,-0.740518348117398
unstable,1.54624747355496,0.786314769535705,-3.62338147924357,-39.4706894532377,13.4456498857764,-0.288561677243424,-1.82816959045844,-1.16619634920998,-1.18797268494701
unstable,1.62373864900557,-0.884498664530185,-7.12661416131281,-68.4208675754413,43.4695881194251,-0.2088552584376,-1.98024007274238,-2.33243716719323,-2.12135145768382
unstable,1.70511334399327,-15.289812278428,-3.39453738029108,22.6292892738118,173.947706663089,-0.429304218755206,-2.57065094039629,-6.75307293440617,1.54127288707702
unstable,1.79056618356931,-4.800481412592,5.96109883398036,76.9604506295593,34.2328256680552,-0.783287044815633,-2.25467258572735,-1.59154152978964,3.10539959792611
unstable,1.8803015465432,-1.6943978281434,4.23349420130004,47.9307999403726,9.84634994663809,-0.765628976453589,-2.23811152238338,-0.807415739725155,2.01662821762047
unstable,1.9745340542984,-0.757540663845387,3.28081156592879,34.7615061819875,4.29264559981149,-0.786750275425243,-2.29948909844179,-0.652666267933215,1.55323080083131
unstable,2.07348908410554,-0.330445017250735,2.7464515071238,27.6837133648095,2.29275055387346,-0.829380376909224,-2.38017724087906,-0.607651038218821,1.3207441116295
unstable,2.17740330816047,-0.0861857205644652,2.4160881554771,23.331257553971,1.3748057652577,-0.885220944127295,-2.46888144371692,-0.593391479784577,1.19143911077429
unstable,2.28652525963663,0.0748433263065961,2.19728800803648,20.4074233893221,0.886886021218124,-0.951006454024633,-2.56206455036326,-0.590149513428416,1.11707118782459
unstable,2.40111592710553,0.192003650311715,2.04554967905784,18.3203737745989,0.600887484147593,-1.02536331396124,-2.6581669906273,-0.59132050327724,1.07589664197346
unstable,2.52144937874688,0.283678701768581,1.93708795894108,16.7639912651289,0.421139046630004,-1.10771502844211,-2.75627485753756,-0.594199157336899,1.05679372436955
unstable,2.64781341784154,0.359501803090325,1.85809428689894,15.5646640480507,0.30211616199255,-1.19785580095634,-2.85571028368912,-0.597472939491764,1.05352610227435
unstable,2.78051027111478,0.424955495911926,1.80001357055625,14.6167937454998,0.22004361082012,-1.29576121028502,-2.9558786178459,-0.600391288148358,1.06234369750522
unstable,2.91985731157643,0.483352664160733,1.75726386844772,13.8525356587528,0.161584939344292,-1.40149334241008,-3.05620330086717,-0.602449112523063,1.08086036120894
unstable,3.06618781758652,0.536781906794731,1.72604860440099,13.2263431608858,0.118823760222113,-1.51514746643951,-3.1560958230978,-0.603253947187104,1.10748056432502
unstable,3.21985176996205,0.586596557807698,1.70369851349338,12.7065190075854,0.0868404907825632,-1.6368185455828,-3.25494182990381,-0.602466928483772,1.14108499115564
unstable,3.38121668903121,0.633684940775124,1.68828821242449,12.2703336270104,0.0624598296150614,-1.76657795776779,-3.35209579276149,-0.599776538951384,1.18084780147907
unstable,3.55066851363717,0.678628438599815,1.67840327976588,11.9010713257894,0.0435659348532833,-1.90445593836498,-3.44688095155655,-0.594888248733937,1.22612532056549
unstable,3.72861252419367,0.721798803555044,1.67299372383584,11.5861720401887,0.0287098533221038,-2.05042762711492,-3.53859299027819,-0.587522518004522,1.27638581288515
unstable,3.91547431200009,0.763421048372313,1.67127895502626,11.3160226563691,0.0168751717698614,-2.20440177350845,-3.626506657167,-0.577417492507203,1.33116426072967
unstable,4.11170079713445,0.803616084671959,1.67268441512544,11.0831477828774,0.00733310531009102,-2.36621176687358,-3.70988484972982,-0.564334408900366,1.39003325689593
unstable,4.31776129735866,0.842431026512969,1.67679812158976,10.8816540694419,-0.000449919042024174,-2.53560898422898,-3.78798978690512,-0.548064482499575,1.45258489842799
unstable,4.53414865059277,0.879861710066925,1.68333994502039,10.7068399928961,-0.00687281527865272,-2.71225861515407,-3.86009588923591,-0.52843639570664,1.5184206111149
unstable,4.76138039364257,0.91587008923011,1.69213910903683,10.5549163215666,-0.01224044814721,-2.89573818756976,-3.92550393577574,-0.505323671210589,1.5871469516466
unstable,5,0.950398068775923,1.70311702826184,10.4228022674813,-0.0167913965321606,-3.08553901140275,-3.98355599439696,-0.478651309336058,1.65837603940014
